"","Z_SCORE"
"431",0.915642635175477
"432",0.417888504757763
"433",-0.138261096127522
"434",-0.863547572749255
"435",0.0688941201514709
"436",-0.278942996443756
"437",0.619727072525616
"438",0.174871624409228
"439",1.18405496618468
"440",0.356508299522415
"441",-0.70711924907204
"442",0.522245155705001
"443",0.220294423156406
"444",0.520664167619134
"445",0.157256125859771
"446",0.00411551509643838
"447",0.794304408940636
"448",-0.223231766810009
"449",1.42536860388635
"450",0.692891490559943
"451",-0.459529308703039
"452",0.114656014468413
"453",-0.247816262539992
"454",-0.894240175938302
"455",-0.370931899957254
"456",0.19744507714907
"457",0.0924644686247941
"458",0.0335129527334968
"459",0.419052858310168
"460",1.64443957469579
"461",0.822585688654518
"462",-0.365090170322092
"463",0.331753007038494
"464",-0.0874275649818613
"465",-0.365943624523558
"466",0.418375704812215
"467",0.503894605755353
"468",-2.14424934502102
"469",0.373693388801503
"470",-0.462133597029893
"471",0.164924082689446
"472",-0.655021268318543
"473",0.188453058371013
"474",0.702273584042859
"475",-0.438239883884278
"476",0.279503080256631
"477",-0.101313653504659
"478",0.193201414774908
"479",0.296834462582107
"480",-0.107474379452199
"481",0.142051241230638
"482",1.4215941993603
"483",-1.55894762550259
"484",0.730548302543121
"485",-0.195298571873443
"486",0.249398068012845
"487",-3.22458685377071
"488",0.301145340517242
"489",0.322035908478526
"490",-0.271579641847301
"491",-0.611531799395037
"492",0.878864983140633
"493",-0.216016305008811
"494",0.462312443373294
"495",-0.160659364617684
"496",-0.252609971385209
"497",0.205570956418945
"498",0.615626980070659
"499",-2.33003565663995
"500",0.788267745266199
"501",1.01972884904994
"502",0.743099705431361
"503",-0.354384158655652
"504",0.972414561301555
"505",-0.566048565230405
"506",-0.262267796824051
"507",0.395905230752912
"508",-0.389090583149709
"509",0.0710630932980247
"510",1.3389394124137
"511",1.20232448100623
"512",0.123375632004715
"513",1.27292650786214
"514",1.4600445411235
"515",-0.947737122845063
"516",0.99041456179584
"517",1.07289613818417
"518",0.213674238297268
"519",-0.0563362968496967
"520",-1.15661381501118
"521",0.521416541021781
"522",1.29011217068787
"523",0.882668004444043
"524",-0.526640472811801
"525",0.0992673679363837
"526",0.578893694415541
"527",0.967532647869458
"528",-1.59199401134513
"529",0.757133681134003
"530",1.25926749775218
"531",0.794659685244101
"532",-0.068965342932378
"533",0.858595997058328
"534",0.397637924920041
"535",-0.0249242577388447
"536",0.162066595925642
"537",1.06294846249954
"538",1.28228860123743
"539",0.0806644322160051
"540",-0.142278623628776
"541",0.102637254870556
"542",-0.233950342419516
"543",0.149070300057087
"544",-0.365411121868615
"545",-0.508888477185213
"546",-0.672824230020159
"547",0.665828255466123
"548",-0.325480620690814
"549",-0.151570586928323
"550",0.838870793337107
"551",0.5015357487847
"552",-0.124033952319994
"553",0.189825529045447
"554",0.445570349820581
"555",-0.150599431594727
"556",0.894336121410554
"557",-0.905522612122984
"558",0.473712742181657
"559",-0.966729137953948
"560",-0.0225846746306517
"561",1.11412981003541
"562",-0.599887859956366
"563",0.0718449250753921
"564",0.858984164083874
"565",-0.253423470644458
"566",1.89405699846453
"567",-0.44790581381374
"568",-0.110852778841912
"569",0.733017278879367
"570",0.0104410639040315
"571",0.275659198103305
"572",0.631199013186204
"573",-0.744113158346328
"574",-0.0155882447339718
"575",1.0153864197833
"576",0.128931938010482
"577",0.614657410229522
"578",0.914847022959092
"579",-0.605363130744592
